"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Location","Location Type","Storage Media","Group","Group Description","usageType","operation","Alarm Type","Database Engine Type","Instance Configuration Type","Logs Destination","OTel_Type","Region Code","Retention","serviceName","Type","Type Description","Version"
"KVN7RYVECDMEJY28","JRTCKXETXF","KVN7RYVECDMEJY28.JRTCKXETXF.V9JAN4EP4Z","OnDemand","$0.75 per million Application Signals for the next 900 million Application Signals - Asia Pacific (Hyderabad)","2026-08-01","100000000","1000000000","Signals","0.0000007500","USD",,"Application Signals","AmazonCloudWatch","Asia Pacific (Hyderabad)","AWS Region",,"CW-APM","CloudWatch Application Signals","APS5-Application-Signals","",,,,,,"ap-south-2",,"AmazonCloudWatch",,,
"KVN7RYVECDMEJY28","JRTCKXETXF","KVN7RYVECDMEJY28.JRTCKXETXF.AGD8ADSNTG","OnDemand","$0.30 per million Application Signals for over 1 billion Application Signals - Asia Pacific (Hyderabad)","2026-08-01","1000000000","Inf","Signals","0.0000003000","USD",,"Application Signals","AmazonCloudWatch","Asia Pacific (Hyderabad)","AWS Region",,"CW-APM","CloudWatch Application Signals","APS5-Application-Signals","",,,,,,"ap-south-2",,"AmazonCloudWatch",,,
"KWKBZADE2KFU3K44","JRTCKXETXF","KWKBZADE2KFU3K44.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.003125 per ACU-Hour monitored by Database Insights for Aurora-PostgreSQL limitless databases in Asia Pacific (Hyderabad)","2026-08-01","0","Inf","ACU-Hours","0.0031250000","USD",,"CloudWatch Database Insights","AmazonCloudWatch","Asia Pacific (Hyderabad)","AWS Region",,"CW-DatabaseInsights","Granular database and SQL query metrics in a curated observability experience for Amazon Aurora and RDS databases","APS5-CW:DatabaseInsights-ACU-Hours","Aurora-PostgreSQL:Limitless",,"Aurora-PostgreSQL","Limitless",,,"ap-south-2",,"AmazonCloudWatch",,,
"KWSWH889YDM7ZXZD","JRTCKXETXF","KWSWH889YDM7ZXZD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.022 per million Events for CW:ContributorInsightEvents in Canada (Central)","2026-08-01","0","Inf","Events","0.0000000220","USD","P2RPRQDEQ5Z55MMA",,"AmazonCloudWatch","Canada (Central)","AWS Region",,"Event-CloudWatchLog","CloudWatch Contributor Insights Matched Events","CAN1-CW:ContributorInsightEvents","",,,,,,"ca-central-1",,"AmazonCloudWatch",,,
"KX6PZBS94WNHGUH3","JRTCKXETXF","KX6PZBS94WNHGUH3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.003 per 1,000 metric updates - Asia Pacific (Hyderabad)","2026-08-01","0","Inf","Metric Update","0.0000030000","USD",,"Metric Streams","AmazonCloudWatch","Asia Pacific (Hyderabad)","AWS Region",,"CW-MetricStreams","CloudWatch Metric Streams Metric Updates","APS5-CW:MetricStreamUsage","MetricUpdate",,,,,,"ap-south-2",,"AmazonCloudWatch",,,
"KXFGJ53B6BG8GEKG","JRTCKXETXF","KXFGJ53B6BG8GEKG.JRTCKXETXF.Q3Z75P77EN","OnDemand","$0.285 per GB for the first 10TB of EUC1-VendedLogIA-Bytes-WAFLogs in EU (Frankfurt)","2026-08-01","0","10240","GB","0.2850000000","USD","SSNSJENVU973ECHE","Data Payload","AmazonCloudWatch","EU (Frankfurt)","AWS Region",,"IA Vended ingested logs","Log delivered from AWS WAF to CloudWatch Logs - IA","EUC1-VendedLogIA-Bytes-WAFLogs","PutLogEvents",,,,"Amazon CloudWatch Logs",,"eu-central-1",,"AmazonCloudWatch",,,"Current"
"KXFGJ53B6BG8GEKG","JRTCKXETXF","KXFGJ53B6BG8GEKG.JRTCKXETXF.JM86AE7V7B","OnDemand","$0.171 per GB for the next 20TB of EUC1-VendedLogIA-Bytes-WAFLogs in EU (Frankfurt)","2026-08-01","10240","30720","GB","0.1710000000","USD","SSNSJENVU973ECHE","Data Payload","AmazonCloudWatch","EU (Frankfurt)","AWS Region",,"IA Vended ingested logs","Log delivered from AWS WAF to CloudWatch Logs - IA","EUC1-VendedLogIA-Bytes-WAFLogs","PutLogEvents",,,,"Amazon CloudWatch Logs",,"eu-central-1",,"AmazonCloudWatch",,,"Current"
"KXFGJ53B6BG8GEKG","JRTCKXETXF","KXFGJ53B6BG8GEKG.JRTCKXETXF.AMET9K77J3","OnDemand","$0.086 per GB for the next 20TB of EUC1-VendedLogIA-Bytes-WAFLogs in EU (Frankfurt)","2026-08-01","30720","51200","GB","0.0860000000","USD","SSNSJENVU973ECHE","Data Payload","AmazonCloudWatch","EU (Frankfurt)","AWS Region",,"IA Vended ingested logs","Log delivered from AWS WAF to CloudWatch Logs - IA","EUC1-VendedLogIA-Bytes-WAFLogs","PutLogEvents",,,,"Amazon CloudWatch Logs",,"eu-central-1",,"AmazonCloudWatch",,,"Current"
"KXFGJ53B6BG8GEKG","JRTCKXETXF","KXFGJ53B6BG8GEKG.JRTCKXETXF.AQTKZ3QBDA","OnDemand","$0.057 per GB for over 50TB of EUC1-VendedLogIA-Bytes-WAFLogs in EU (Frankfurt)","2026-08-01","51200","Inf","GB","0.0570000000","USD","SSNSJENVU973ECHE","Data Payload","AmazonCloudWatch","EU (Frankfurt)","AWS Region",,"IA Vended ingested logs","Log delivered from AWS WAF to CloudWatch Logs - IA","EUC1-VendedLogIA-Bytes-WAFLogs","PutLogEvents",,,,"Amazon CloudWatch Logs",,"eu-central-1",,"AmazonCloudWatch",,,"Current"
"KXR3V28T5UM8JC6C","JRTCKXETXF","KXR3V28T5UM8JC6C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0125 per vCPU-Hour monitored by Database Insights for RDS MariaDB provisioned databases in Asia Pacific (Melbourne)","2026-08-01","0","Inf","vCPU-Hours","0.0125000000","USD",,"CloudWatch Database Insights","AmazonCloudWatch","Asia Pacific (Melbourne)","AWS Region",,"CW-DatabaseInsights","Granular database and SQL query metrics in a curated observability experience for Amazon Aurora and RDS databases","APS6-CW:DatabaseInsights-vCPU-Hours","RDS-MariaDB:Provisioned",,"RDS MariaDB","Provisioned",,,"ap-southeast-4",,"AmazonCloudWatch",,,
"KXUN95HFYMDPQX3G","JRTCKXETXF","KXUN95HFYMDPQX3G.JRTCKXETXF.Q3Z75P77EN","OnDemand","$0.38 per GB of log data delivered to S3 for the first 10TB - Asia Pacific (Tokyo)","2026-08-01","0","10240","GB","0.3800000000","USD","85NYBRRPURC8EH9H","Data Payload","AmazonCloudWatch","Asia Pacific (Tokyo)","AWS Region",,"Delivered Logs","Log delivered from AWS services to log destinations other than CloudWatch","APN1-S3-Egress-Bytes","",,,,"Amazon S3",,"ap-northeast-1",,"AmazonCloudWatch",,,"Current"
"KXUN95HFYMDPQX3G","JRTCKXETXF","KXUN95HFYMDPQX3G.JRTCKXETXF.JM86AE7V7B","OnDemand","$0.228 per GB of log data delivered to S3 for the next 20TB - Asia Pacific (Tokyo)","2026-08-01","10240","30720","GB","0.2280000000","USD","85NYBRRPURC8EH9H","Data Payload","AmazonCloudWatch","Asia Pacific (Tokyo)","AWS Region",,"Delivered Logs","Log delivered from AWS services to log destinations other than CloudWatch","APN1-S3-Egress-Bytes","",,,,"Amazon S3",,"ap-northeast-1",,"AmazonCloudWatch",,,"Current"
"KXUN95HFYMDPQX3G","JRTCKXETXF","KXUN95HFYMDPQX3G.JRTCKXETXF.AMET9K77J3","OnDemand","$0.114 per GB of log data delivered to S3 for the next 20TB - Asia Pacific (Tokyo)","2026-08-01","30720","51200","GB","0.1140000000","USD","85NYBRRPURC8EH9H","Data Payload","AmazonCloudWatch","Asia Pacific (Tokyo)","AWS Region",,"Delivered Logs","Log delivered from AWS services to log destinations other than CloudWatch","APN1-S3-Egress-Bytes","",,,,"Amazon S3",,"ap-northeast-1",,"AmazonCloudWatch",,,"Current"
"KXUN95HFYMDPQX3G","JRTCKXETXF","KXUN95HFYMDPQX3G.JRTCKXETXF.AQTKZ3QBDA","OnDemand","$0.076 per GB of log data delivered to S3 over 50TB - Asia Pacific (Tokyo)","2026-08-01","51200","Inf","GB","0.0760000000","USD","85NYBRRPURC8EH9H","Data Payload","AmazonCloudWatch","Asia Pacific (Tokyo)","AWS Region",,"Delivered Logs","Log delivered from AWS services to log destinations other than CloudWatch","APN1-S3-Egress-Bytes","",,,,"Amazon S3",,"ap-northeast-1",,"AmazonCloudWatch",,,"Current"
"KY7QHQCDPT6CXGY8","JRTCKXETXF","KY7QHQCDPT6CXGY8.JRTCKXETXF.Q3Z75P77EN","OnDemand","$0.35 per GB of Application Signals data ingested for the first 10TB - EU (London)","2026-08-01","0","10240","GB","0.3500000000","USD",,"Application Signals Bytes","AmazonCloudWatch","EU (London)","AWS Region",,"CW-Application-Signals-bundle","CloudWatch Application Signals Bytes","EUW2-Application-Signals-Bytes","",,,,,,"eu-west-2",,"AmazonCloudWatch",,,
"KY7QHQCDPT6CXGY8","JRTCKXETXF","KY7QHQCDPT6CXGY8.JRTCKXETXF.JM86AE7V7B","OnDemand","$0.20 per GB of Application Signals data ingested for the next 20TB - EU (London)","2026-08-01","10240","30720","GB","0.2000000000","USD",,"Application Signals Bytes","AmazonCloudWatch","EU (London)","AWS Region",,"CW-Application-Signals-bundle","CloudWatch Application Signals Bytes","EUW2-Application-Signals-Bytes","",,,,,,"eu-west-2",,"AmazonCloudWatch",,,
"KY7QHQCDPT6CXGY8","JRTCKXETXF","KY7QHQCDPT6CXGY8.JRTCKXETXF.YKK5MB6R7S","OnDemand","$0.15 per GB of Application Signals data ingested for over 30TB - EU (London)","2026-08-01","30720","Inf","GB","0.1500000000","USD",,"Application Signals Bytes","AmazonCloudWatch","EU (London)","AWS Region",,"CW-Application-Signals-bundle","CloudWatch Application Signals Bytes","EUW2-Application-Signals-Bytes","",,,,,,"eu-west-2",,"AmazonCloudWatch",,,
"KZ679BSP3MDWE3GC","JRTCKXETXF","KZ679BSP3MDWE3GC.JRTCKXETXF.Q3Z75P77EN","OnDemand","$0.50 per GB of CloudFront vended logs ingested in Standard log class for the first 10TB  -  EU (Ireland)","2026-08-01","0","10240","GB","0.5000000000","USD","SSNSJENVU973ECHE","Data Payload","AmazonCloudWatch","EU (Ireland)","AWS Region",,"Ingested Logs","Logs generated by Amazon CloudFront and delivered to CloudWatch-Standard as Vended Logs","EU-VendedLog-Bytes-CFLogs","PutLogEvents",,,,"Amazon CloudWatch Logs",,"eu-west-1",,"AmazonCloudWatch",,,"Current"
"KZ679BSP3MDWE3GC","JRTCKXETXF","KZ679BSP3MDWE3GC.JRTCKXETXF.JM86AE7V7B","OnDemand","$0.25 per GB of CloudFront vended logs ingested in Standard log class for the next 20TB  -  EU (Ireland)","2026-08-01","10240","30720","GB","0.2500000000","USD","SSNSJENVU973ECHE","Data Payload","AmazonCloudWatch","EU (Ireland)","AWS Region",,"Ingested Logs","Logs generated by Amazon CloudFront and delivered to CloudWatch-Standard as Vended Logs","EU-VendedLog-Bytes-CFLogs","PutLogEvents",,,,"Amazon CloudWatch Logs",,"eu-west-1",,"AmazonCloudWatch",,,"Current"
"KZ679BSP3MDWE3GC","JRTCKXETXF","KZ679BSP3MDWE3GC.JRTCKXETXF.AMET9K77J3","OnDemand","$0.10 per GB of CloudFront vended logs ingested in Standard log class for the next 20TB  -  EU (Ireland)","2026-08-01","30720","51200","GB","0.1000000000","USD","SSNSJENVU973ECHE","Data Payload","AmazonCloudWatch","EU (Ireland)","AWS Region",,"Ingested Logs","Logs generated by Amazon CloudFront and delivered to CloudWatch-Standard as Vended Logs","EU-VendedLog-Bytes-CFLogs","PutLogEvents",,,,"Amazon CloudWatch Logs",,"eu-west-1",,"AmazonCloudWatch",,,"Current"
"KZ679BSP3MDWE3GC","JRTCKXETXF","KZ679BSP3MDWE3GC.JRTCKXETXF.AQTKZ3QBDA","OnDemand","$0.05 per GB of CloudFront vended logs ingested in Standard log class over 50TB  -  EU (Ireland)","2026-08-01","51200","Inf","GB","0.0500000000","USD","SSNSJENVU973ECHE","Data Payload","AmazonCloudWatch","EU (Ireland)","AWS Region",,"Ingested Logs","Logs generated by Amazon CloudFront and delivered to CloudWatch-Standard as Vended Logs","EU-VendedLog-Bytes-CFLogs","PutLogEvents",,,,"Amazon CloudWatch Logs",,"eu-west-1",,"AmazonCloudWatch",,,"Current"
"KZH39GR9J75VDJDJ","JRTCKXETXF","KZH39GR9J75VDJDJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002405 per vCPU-Hour for first month retention monitored by Database Insights (Standard Mode) for Aurora-PostgreSQL Provisioned in EU (Paris)","2026-08-01","0","Inf","vCPU-Hours","0.0024050000","USD",,"CloudWatch Database Insights","AmazonCloudWatch","EU (Paris)","AWS Region",,,,"EUW3-CW:DatabaseInsights-Standard-FMR-vCPU-Hours","Aurora-PostgreSQL:Provisioned",,"Aurora-PostgreSQL","Provisioned",,,"eu-west-3","FMR","AmazonCloudWatch",,,
"KZH3YQDT7PXYHAP9","JRTCKXETXF","KZH3YQDT7PXYHAP9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 1,000 metrics requested using GetInsightRuleReport API - Asia Pacific (Mumbai)","2026-08-01","0","Inf","Metrics","0.0000100000","USD",,"API Request","AmazonCloudWatch","Asia Pacific (Mumbai)","AWS Region",,"CW-Requests","CloudWatch Contributor Insights API Requests","APS3-CW:GIRR-Metrics","GetInsightRuleReport",,,,,,"ap-south-1",,"AmazonCloudWatch",,,
