"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Tenancy","usageType","operation","CapabilityType","CPUType","EKSCapabilityUnits","EKSProductType","InstanceType","MemoryType","Region Code","serviceName","StorageType","TierType"
"RME8TP8H24DCR5GN","JRTCKXETXF","RME8TP8H24DCR5GN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00511 per hour for EKS Auto Mode management of c6g.large in Asia Pacific (Hyderabad)","2026-08-01","0","Inf","hours","0.0051100000","USD","Compute","AmazonEKS","Asia Pacific (Hyderabad)","AWS Region",,"APS5-EKS-Auto:c6g.large-management-hours","EKSAutoUsage",,,,"AutoMode","c6g.large",,"ap-south-2","Amazon Elastic Container Service for Kubernetes",,
"RME9GZTGSG3K3YKD","JRTCKXETXF","RME9GZTGSG3K3YKD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.41126 per hour for EKS Auto Mode management of r7g.metal in US East (N. Virginia)","2026-08-01","0","Inf","hours","0.4112600000","USD","Compute","AmazonEKS","US East (N. Virginia)","AWS Region",,"EKS-Auto:r7g.metal-management-hours","EKSAutoUsage",,,,"AutoMode","r7g.metal",,"us-east-1","Amazon Elastic Container Service for Kubernetes",,
"RMFN6GSPVYKTKEUY","JRTCKXETXF","RMFN6GSPVYKTKEUY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.63936 per hour for EKS Auto Mode management of c5d.24xlarge in EU (Frankfurt)","2026-08-01","0","Inf","hours","0.6393600000","USD","Compute","AmazonEKS","EU (Frankfurt)","AWS Region",,"EUC1-EKS-Auto:c5d.24xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","c5d.24xlarge",,"eu-central-1","Amazon Elastic Container Service for Kubernetes",,
"RMGBVPH48C873Z8Z","JRTCKXETXF","RMGBVPH48C873Z8Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.26673 per hour for EKS Auto Mode management of r8i.8xlarge in US West (Oregon)","2026-08-01","0","Inf","hours","0.2667300000","USD","Compute","AmazonEKS","US West (Oregon)","AWS Region",,"USW2-EKS-Auto:r8i.8xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","r8i.8xlarge",,"us-west-2","Amazon Elastic Container Service for Kubernetes",,
"RMGFAUAHED9C9VNV","JRTCKXETXF","RMGFAUAHED9C9VNV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.15677 per hour for EKS Auto Mode management of r8gd.4xlarge in Europe (Spain)","2026-08-01","0","Inf","hours","0.1567700000","USD","Compute","AmazonEKS","Europe (Spain)","AWS Region",,"EUS2-EKS-Auto:r8gd.4xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","r8gd.4xlarge",,"eu-south-2","Amazon Elastic Container Service for Kubernetes",,
"RMM43NTDUJMGKSGV","JRTCKXETXF","RMM43NTDUJMGKSGV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.48960 per hour for EKS Auto Mode management of c6i.24xlarge in US East (Ohio)","2026-08-01","0","Inf","hours","0.4896000000","USD","Compute","AmazonEKS","US East (Ohio)","AWS Region",,"USE2-EKS-Auto:c6i.24xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","c6i.24xlarge",,"us-east-2","Amazon Elastic Container Service for Kubernetes",,
"RMN32ECMHBCSQ8DC","JRTCKXETXF","RMN32ECMHBCSQ8DC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00539 per hour for EKS Auto Mode management of m8g.medium in US East (N. Virginia)","2026-08-01","0","Inf","hours","0.0053900000","USD","Compute","AmazonEKS","US East (N. Virginia)","AWS Region",,"EKS-Auto:m8g.medium-management-hours","EKSAutoUsage",,,,"AutoMode","m8g.medium",,"us-east-1","Amazon Elastic Container Service for Kubernetes",,
"RMP2TD7JH2D5SU7P","JRTCKXETXF","RMP2TD7JH2D5SU7P.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.007258 per ACK Capability Hour in Asia Pacific (Osaka)","2026-08-01","0","Inf","Hours","0.0072580000","USD","Compute","AmazonEKS","Asia Pacific (Osaka)","AWS Region",,"APN3-AmazonEKSCapabilities-ACK-Hours:perCapability","ACKUsage","ACK",,"Hours:perCapability",,,,"ap-northeast-3","Amazon Elastic Container Service for Kubernetes",,
"RMRNNFXCHQGYQ94C","JRTCKXETXF","RMRNNFXCHQGYQ94C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.08928 per hour for EKS Auto Mode management of z1d.2xlarge in US West (Oregon)","2026-08-01","0","Inf","hours","0.0892800000","USD","Compute","AmazonEKS","US West (Oregon)","AWS Region",,"USW2-EKS-Auto:z1d.2xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","z1d.2xlarge",,"us-west-2","Amazon Elastic Container Service for Kubernetes",,
"RMTEJCZXFTC3D8MM","JRTCKXETXF","RMTEJCZXFTC3D8MM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.40 per Hour for 2XL Provisioned Tier in Europe (Zurich)","2026-08-01","0","Inf","Hours","3.4000000000","USD","Compute","AmazonEKS","Europe (Zurich)","AWS Region",,"EUC2-AmazonEKS-Hours:2XL-ProvisionedTier","ProvisionedControlPlaneUsage",,,,,,,"eu-central-2","Amazon Elastic Container Service for Kubernetes",,"HAProvisioned2XL"
