"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Volume Type","Group","Group Description","usageType","operation","Region Code","serviceName","TableClass"
"3PB8DE2X4E4VWVDX","JRTCKXETXF","3PB8DE2X4E4VWVDX.JRTCKXETXF.M9QGYPQ72M","OnDemand","$0.00 for 2.5 million DynamoDB Streams read request units for a month (free tier) (Asia Pacific (Singapore))","2026-07-01","0","2500000","Requests","0.0000000000","USD",,,,"API Request","AmazonDynamoDB","Asia Pacific (Singapore)","AWS Region",,"DDB-StreamsReadRequests","DynamoDB Streams read request (GetRecords API)","APS1-Streams-Requests","GetRecords","ap-southeast-1","Amazon DynamoDB",
"3PB8DE2X4E4VWVDX","JRTCKXETXF","3PB8DE2X4E4VWVDX.JRTCKXETXF.AUKFMGQW43","OnDemand","$0.000000228 per DynamoDB Streams read request unit beyond free tier (Asia Pacific (Singapore))","2026-07-01","2500000","Inf","Requests","0.0000002280","USD",,,,"API Request","AmazonDynamoDB","Asia Pacific (Singapore)","AWS Region",,"DDB-StreamsReadRequests","DynamoDB Streams read request (GetRecords API)","APS1-Streams-Requests","GetRecords","ap-southeast-1","Amazon DynamoDB",
"3Q2UMW2UDGG2R7TB","JRTCKXETXF","3Q2UMW2UDGG2R7TB.JRTCKXETXF.M9QGYPQ72M","OnDemand","$0.00 for 2.5 million DynamoDB Streams read request units for a month (free tier) in Europe (Spain)","2026-07-01","0","2500000","Requests","0.0000000000","USD",,,,"API Request","AmazonDynamoDB","Europe (Spain)","AWS Region",,"DDB-StreamsReadRequests","DynamoDB Streams read request (GetRecords API)","EUS2-Streams-Requests","GetRecords","eu-south-2","Amazon DynamoDB",
"3Q2UMW2UDGG2R7TB","JRTCKXETXF","3Q2UMW2UDGG2R7TB.JRTCKXETXF.AUKFMGQW43","OnDemand","$0.0000002260 per DynamoDB Streams read request unit beyond free tier in Europe (Spain)","2026-07-01","2500000","Inf","Requests","0.0000002260","USD",,,,"API Request","AmazonDynamoDB","Europe (Spain)","AWS Region",,"DDB-StreamsReadRequests","DynamoDB Streams read request (GetRecords API)","EUS2-Streams-Requests","GetRecords","eu-south-2","Amazon DynamoDB",
"3REAZ6GRH8AHSG3P","JRTCKXETXF","3REAZ6GRH8AHSG3P.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0010109 per hour for units of IA write capacity in Middle East (UAE)","2026-07-01","0","Inf","WriteCapacityUnit-Hrs","0.0010109000","USD",,,,"Provisioned IOPS","AmazonDynamoDB","Middle East (UAE)","AWS Region",,"DDB-WriteUnitsIA","DynamoDB Provisioned Write Units IA","MEC1-IA-WriteCapacityUnit-Hrs","CommittedThroughput","me-central-1","Amazon DynamoDB",
"3S936XA5CYEWQHJ8","JRTCKXETXF","3S936XA5CYEWQHJ8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.12452 per GB-Month of IA storage in Middle East (UAE)","2026-07-01","0","Inf","GB-Mo","0.1245200000","USD",,,,"Database Storage","AmazonDynamoDB","Middle East (UAE)","AWS Region","Amazon DynamoDB - Indexed DataStore - IA",,,"MEC1-IA-TimedStorage-ByteHrs","","me-central-1","Amazon DynamoDB",
"3SA2U6N9TXNT4R2N","JRTCKXETXF","3SA2U6N9TXNT4R2N.JRTCKXETXF.HBHVWY47CM","OnDemand","$0.00 per hour for 25 units of write capacity for a month (free tier)","2026-07-01","0","18600","WriteCapacityUnit-Hrs","0.0000000000","USD",,,,"Provisioned IOPS","AmazonDynamoDB","US West (N. California)","AWS Region",,"DDB-WriteUnits","DynamoDB Provisioned Write Units","USW1-WriteCapacityUnit-Hrs","CommittedThroughput","us-west-1","Amazon DynamoDB",
"3SA2U6N9TXNT4R2N","JRTCKXETXF","3SA2U6N9TXNT4R2N.JRTCKXETXF.E63J5HTPNN","OnDemand","$0.000725 per hour for units of write capacity beyond the free tier","2026-07-01","18600","Inf","WriteCapacityUnit-Hrs","0.0007250000","USD",,,,"Provisioned IOPS","AmazonDynamoDB","US West (N. California)","AWS Region",,"DDB-WriteUnits","DynamoDB Provisioned Write Units","USW1-WriteCapacityUnit-Hrs","CommittedThroughput","us-west-1","Amazon DynamoDB",
"3SA2U6N9TXNT4R2N","VG8YD49WWM","3SA2U6N9TXNT4R2N.VG8YD49WWM.6YS6EN2CT7","Reserved","Amazon DynamoDB, Reserved Write Capacity used this month","2026-08-04","0","Inf","WriteCapacityUnit-Hrs","0.0000910000","USD","3yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","US West (N. California)","AWS Region",,"DDB-WriteUnits","DynamoDB Provisioned Write Units","USW1-WriteCapacityUnit-Hrs","CommittedThroughput","us-west-1","Amazon DynamoDB",
"3SA2U6N9TXNT4R2N","VG8YD49WWM","3SA2U6N9TXNT4R2N.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2026-08-04",,,"Quantity","2.016","USD","3yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","US West (N. California)","AWS Region",,"DDB-WriteUnits","DynamoDB Provisioned Write Units","USW1-WriteCapacityUnit-Hrs","CommittedThroughput","us-west-1","Amazon DynamoDB",
